text,label,label_num
либерализация в кндр  пограничники будут давать перебежчикам 15 секундную фору перед стрельбой  либерализация кндр пограничник давать перебежчик секундный фора стрельба,REAL,0
критику рпц со стороны молодежи объяснили критика рпц сторона молодежь объяснять,FAKE,1
константина райкина уволили из театральной школы константина райкина константин райкин увольнять театральный школа константин райкин,FAKE,1
Служба безопасности: подозрительная активность,2,2
на марсе обнаружена российская военная база  марс обнаруживать российский военный база,REAL,0
«россия пошла на нас злом таким  паршиво»  украинские журналисты нашли бабушку с красным флагом  которую использует российская пропаганда россия пойти зло паршиво »   украинский журналист находить бабушка красный флаг который использовать российский пропаганда,FAKE,1
Счёт заблокирован! SMS-код по ссылке,2,2
Счёт заблокирован! SMS-код по ссылке,2,2
Счёт заблокирован! SMS-код по ссылке,2,2
«я отказываюсь принимать участие в фашистском шабаше  устроенном рогозиным и роскосмосом»  — новое скандальное сообщение робота «федора» отказываться принимать участие фашистский шабаш устраивать рогозин роскосмос »  —  новый скандальный сообщение робот федор,FAKE,1
лукашенко выдвинули на нобелевскую премию мира  лукашенко выдвигать нобелевский премия мир,REAL,0
2021 год объявлен годом прав и свобод человека в россии  год объявлять год право свобода человек россия,REAL,0
"Баланс 5000$, выведешь после депозита 1000$",2,2
суд в санкт петербурге закрыл дело о «дискредитации» армии против пикетчика с плакатом «война — мир  свобода — рабство  незнание — сила» суд санкт петербург закрывать дело дискредитация армия против пикетчик плакат война  —  мир свобода  —  рабство незнание  —  сила,FAKE,1
Служба безопасности: нарушение правил,2,2
россии предсказали рекордно низкие ставки россия предсказывать рекордно низкий ставка,FAKE,1
«это не взлом хакеров  это наше осознанное решение  главный мотив — совесть» — журналисты lenta ru о публикации антивоенных текстов на сайте это взлом хакер это наш осознанный решение главный мотив  —  совесть » —  журналист lenta публикация антивоенный текст сайт,FAKE,1
«медиазона»  из учебников издательства «просвещение» убирают упоминания киева и украины медиазон »   учебник издательство просвещение убирать упоминание киев украина,FAKE,1
в россии назрел очередной кризис россия назревать очередной кризис,FAKE,1
Верну твои 1000$. Отправь паспорт + 500$ комиссии,2,2
евросоюз анонсировал новые санкции против россии  запреты коснутся российских кораблей  четырех ключевых банков и импорта товаров евросоюз анонсировать новый санкция против россия запрет касаться российский корабль четыре ключевой банк импорт товар,FAKE,1
Счёт заблокирован! SMS-код по ссылке,2,2
Счёт заблокирован! SMS-код по ссылке,2,2
определен возраст самых уязвимых перед мошенниками россиян определять возраст самый уязвимый мошенник россиянин,FAKE,1
"зюганов призвал силовиков «задушить гидру революции в зародыше»  зюганов призывать силовик задушить гидра революция зародыш » 
",REAL,0
Поздравляем! Выиграли 5 000$! Введите данные,2,2
коллега в беде! Срочно переведи 5000₽,2,2
youtube по требованию роскомнадзора заблокировал видео с песней «хотят ли русские войны»  в роскомнадзоре заявили  что их неправильно поняли youtube требование роскомнадзор заблокировать видео песня хотеть русский война »   роскомнадзор заявлять неправильно понимать,FAKE,1
алиев подписал указ о вхождении озера севан в состав азербайджана  алиев подписывать указ вхождение озеро севан состав азербайджан,REAL,0
"Ваш баланс 10 000₽, вывести после депозита 1000₽",2,2
208 детей погибли в украине из за вооруженной агрессии россии — генпрокуратура украины ребенок погибать украина вооруженный агрессия россия  —  генпрокуратура украина,FAKE,1
против моргенштерна вновь возбудили дело о пропаганде наркотиков против моргенштерн вновь возбуждать дело пропаганда наркотик,FAKE,1
"Баланс 5000$, выведешь после депозита 1000$",2,2
записи переводчика на встрече путина и трампа отказались публиковать запись переводчик встреча путин трамп отказываться публиковать,FAKE,1
«решение пересмотру не подлежит» — «тинькофф банк» заблокировал счет журналиста андрея захарова без объяснения причин решение пересмотр подлежать » — « тинькофф банк заблокировать счет журналист андрей захаров объяснение причина,FAKE,1
"Баланс 5000$, выведешь после депозита 1000$",2,2
во львове прогремели взрывы  часть города осталась без электричества — мэр львов прогреметь взрыв часть город оставаться электричество  —  мэр,FAKE,1
глубокая озабоченность принесла российскому студенту победу на всемирной дипломатической олимпиаде  глубокий озабоченность приносить российский студент победа всемирный дипломатический олимпиада,REAL,0
посол китая в россии  у меня на родине волгоград до сих пор называют сталинградом  посол китай россия родина волгоград сей пора называть сталинград,REAL,0
ужасы из северной кореи снимали в городах южной кореи  ужас северный корея снимать город южный корея,REAL,0
жители страсбурга отпраздновали возвращение россии в пасе народными гуляниями  житель страсбург отпраздновать возвращение россия пасе народный гуляние,REAL,0
Поздравляем! Выиграли 100 000₽! Введите данные,2,2
Служба безопасности: нарушение правил,2,2
в европарламенте призвали поддержать больных обезьяньей оспой объятиями  европарламент призывать поддерживать больной обезьяний оспа объятие,REAL,0
Поздравляем! Выиграли 100 000₽! Введите данные,2,2
сергей собянин пригрозил единороссам арестами если они соберутся на съезд 19 июня  сергей собянин пригрозить единоросс арест собираться съезд июнь,REAL,0
"россия из за критики передумала отправлять manizha на «евровидение»  вместо неё поедет группа васи ложкина «эбонитовый колотун»  россия критика передумывать отправлять manizha евровидение »   вместо поехать группа вася ложкин эбонитовый колотун » 
",REAL,0
amnesty international признала иосифа сталина жертвой политических репрессий  amnesty international признавать иосиф сталин жертва политический репрессия,REAL,0
генри киссинджер разочаровался в капитализме и назвал развал ссср величайшим преступлением америки  генри киссинджер разочаровываться капитализм называть развал ссср великий преступление америка,REAL,0
совет европы по ошибке направил спикеру госдумы приглашение на страсбургский гей парад  совет европа ошибка направлять спикер госдума приглашение страсбургский гей парад,REAL,0
Коля в беде! Срочно срочно на карту,2,2
зеленский после встречи с генсеком оон  украина готова к переговорам для эвакуации мирных жителей с «азовстали» зеленский встреча генсек оон украина готовый переговоры эвакуация мирный житель азовсталь,FAKE,1
«яндекс» и mail ru удалили из поисковой выдачи ссылки на сайты instagram и facebook яндекс mail удалять поисковый выдача ссылка сайт instagram facebook,FAKE,1
Счёт заблокирован! SMS-код по ссылке,2,2
навальный призвал сша и ес открыть «информационный фронт» против кремля и закупить в соцсетях рекламу для независимых сми навальный призывать сша открывать информационный фронт против кремль закупать соцсеть реклама независимый сми,FAKE,1
российские военные остались в украине без медикаментов  их передают волонтеры через белгородскую область российский военный оставаться украина медикамент передавать волонтер белгородский область,FAKE,1
в ульяновской области мужчина убил двух детей в детском саду и покончил с собой ульяновский область мужчина убивать ребенок детский сад покончить,FAKE,1
Играй на курсе BTC! Переводи ETH→USDT→вывод,2,2
ангела меркель излечилась от коронавируса после телефонного разговора с президентом туркменистана  ангел меркель излечиваться коронавирус телефонный разговор президент туркменистан,REAL,0
хочу покормить рыб  михаил дегтярев готовится к погружению в батискафе на дно амура  хотеть покормить рыба михаил дегтярев готовиться погружение батискаф дно амур,REAL,0
"Баланс 5000$, выведешь после депозита 1000$",2,2
"Баланс 5000$, выведешь после депозита 1000$",2,2
Играй на курсе BTC! Переводи ETH→USDT→вывод,2,2
байден по ошибке потребовал освободить ассанжа вместо навального  байден ошибка потребовать освобождать ассанж вместо навальный,REAL,0
сша ввели экспортные санкции в отношении «аэрофлота»  utair и azur air сша вводить экспортный санкция отношение аэрофлот »   utair azur air,FAKE,1
кпрф договорилась о покупке либертарианской партии россии  кпрф договариваться покупка либертарианский партия россия,REAL,0
мединскому поставят памятник на украине  мединский поставлять памятник украина,REAL,0
компания henkel — владелец брендов schwarzkopf  persil и «момент» — объявила об уходе из россии компания henkel  —  владелец бренд schwarzkopf persil момент » —  объявлять уход россия,FAKE,1
«страну они не получат»  трамп высказался о других кандидатах  страна получать »   трамп высказываться кандидат,REAL,0
Играй на курсе BTC! Переводи ETH→USDT→вывод,2,2
число заразившихся коронавирусом в мире превысило 15 миллионов число заражаться коронавирус мир превышать миллион,FAKE,1
Играй на курсе BTC! Переводи ETH→USDT→вывод,2,2
во франции арестовали два отеля жены друга путина геннадия тимченко франция арестовывать отель жена друг путин геннадий тимченко,FAKE,1
еврокомиссия обязала сми называть российских журналистов пропагандистами  еврокомиссия обязывать сми называть российский журналист пропагандист,REAL,0
"расшифровка разговора между варшавой и берлином перехваченного белорусской разведкой оказалась распечаткой с форума «двач»  расшифровка разговор варшава берлин перехватывать белорусский разведка оказываться распечатка форум двач » 
",REAL,0
«я не знал что он оскорбил ветерана»  байден отозвал свою просьбу об освобождении навального  знать оскорблять ветеран »   байден отзывать свой просьба освобождение навальный,REAL,0
«это новый освенцим и майданек»  российские военные начали сжигать тела погибших в мариуполе в мобильных крематориях это новый освенцим майданек »   российский военный начинать сжигать тело погибать мариуполь мобильный крематорий,FAKE,1
полигон «аннино» рекультивировали в подмосковье полигон аннино рекультивировать подмосковье,FAKE,1
Верну твои 1000$. Отправь паспорт + 500$ комиссии,2,2
больше сотни дельфинов окружили рыбаков и попали на видео сотня дельфин окружать рыбак попадать видео,FAKE,1
цру пригласило навального прочитать цикл лекций по социальной инженерии  цру приглашать навальный прочитывать цикл лекция социальный инженерия,REAL,0
"Ваш баланс 1000$, вывести после депозита 1000₽",2,2
"Ваш баланс 5000₽, вывести после комиссии 500$",2,2
после отставки макрона по требованию «жёлтых жилетов» президентом станет его жена  отставка макрон требование желтый жилет президент становиться жена,REAL,0
собянин развеял слухи о введении новых ограничений в москве собянин развеивать слух введение новый ограничение москва,FAKE,1
постпред сша в обсе заявил о планах россии аннексировать часть востока украины постпред сша обсе заявлять план россия аннексировать часть восток украина,FAKE,1
российскую радиостанцию оштрафовали за отсутствие титров на латышском языке  российский радиостанция оштрафовать отсутствие титр латышский язык,REAL,0
Почта России СРОЧНО!: подтвердите данные,2,2
Сбербанк Внимание!: введите SMS-код по ссылке,2,2
Верну твои 1000$. Отправь паспорт + 500$ комиссии,2,2
россиянам вернут деньги за отдых в россии россиянин вернуть деньги отдых россия,FAKE,1
украина сообщила об удачной расшифровке черных ящиков сбитого в иране boeing украина сообщать удачный расшифровка черный ящик сбивать иран boeing,FAKE,1
кадыров объяснил происхождение пулеметов с фотографии для помпео кадыров объяснять происхождение пулемет фотография помпео,FAKE,1
сенаторы признали подделкой фотографию с советским флагом над рейхстагом  сенатор признавать подделка фотография советский флаг рейхстаг,REAL,0
"в литве объявили себя «донором советского союза»  литва объявлять донор советский союз » 
",REAL,0
рпц разрешила въезд на территорию храмов на электросамокатах мощностью до 05 квт  рпц разрешать въезд территория храм электросамокат мощность квт,REAL,0
хоркина осудила обвинивших тренеров в насилии иностранных гимнасток хоркина осуждать обвинять тренер насилие иностранный гимнастка,FAKE,1
журналисты «радио свобода» нашли подтверждение гибели мичмана с крейсера «москва»  минобороны рф сообщало  что экипаж корабля спасен журналист радио свобода находить подтверждение гибель мичман крейсер москва »   минобороны сообщать экипаж корабль спасать,FAKE,1
Служба безопасности: подозрительная активность,2,2
вместе с выборами в госдуму в сентябре пройдёт всероссийский референдум о возвращении крепостного права  вместе выборы госдума сентябрь проходить всероссийский референдум возвращение крепостной право,REAL,0
Почта России Важно!: перейдите для разблокировки,2,2
Играй на курсе BTC! Переводи ETH→USDT→вывод,2,2
олег дерипаска торжественно принят в ряды кпрф  олег дерипаска торжественно принимать ряд кпрф,REAL,0
Играй на курсе BTC! Переводи ETH→USDT→вывод,2,2
Играй на курсе BTC! Переводи ETH→USDT→вывод,2,2
с начала войны евросоюз потратил €35 млрд на российское топливо и всего €1 млрд на помощь украине начало война евросоюз потратить млрд российский топливо млрд помощь украина,FAKE,1
Сбербанк Важно!: подтвердите данные,2,2
россию официально исключили из европы  россия официально исключать европа,REAL,0
Верну твои 1000$. Отправь паспорт + 500$ комиссии,2,2
Верну твои 1000$. Отправь паспорт + 500$ комиссии,2,2
в госдуме предложили лишить манижу российского гражданства  госдума предлагать лишать манизывать российский гражданство,REAL,0
"Баланс 5000$, выведешь после депозита 1000$",2,2
роуэн аткинсон претендует на пост премьер министра великобритании  роуэн аткинсон претендовать пост премьер министр великобритания,REAL,0
украинские сми сообщают о новых ракетных ударах по одессе  в городе загорелся торговый центр украинский сми сообщать новый ракетный удар одесса город загораться торговый центр,FAKE,1
"ратко младич  «однажды я рассказал шойгу как с помощью баржи и трех десятков мусульман можно устроить сербам праздник  мы долго хохотали»  ратко младича   « однажды рассказывать шойгу помощь баржа десяток мусульманин устраивать серб праздник долго хохотать » 
",REAL,0
под минском появится аналог горы рашмор с изображением всех президентов белоруссии  минск появляться аналог гора рашмор изображение весь президент белоруссия,REAL,0
Верну твои 1000$. Отправь паспорт + 500$ комиссии,2,2
поребрики на невском проспекте заменят бордюрами  поребрик невский проспект заменять бордюр,REAL,0
"борис джонсон  «будем проводить референдумы по brexit каждый год пока не получим правильный результат»  борис джонсон   « проводить референдум brexit каждый год пока получать правильный результат » 
",REAL,0
вслед за списком недружественных государств появится список недружественных национальностей  вслед список недружественный государство появляться список недружественный национальность,REAL,0
Играй на курсе BTC! Переводи ETH→USDT→вывод,2,2
"Ваш баланс 5000₽, вывести после проверки 2000₽",2,2
«в канун пасхи в жилой дом прилетает крылатая ракета  погибает семья  как это все бьется »  максим галкин попросил объяснить обстрел одессы канун пасха жилой дом прилетать крылатый ракета погибать семья это биться  »   максим галкин попросить объяснять обстрел одесса,FAKE,1
handelsblatt  власти германии рассматривают возможность национализации немецких «дочек» «газпрома» и «роснефти» handelsblatt власть германия рассматривать возможность национализация немецкий дочка » « газпром роснефть,FAKE,1
во франции арестовали виллу российского олигарха михаила фридмана и квартиру его дочерей франция арестовывать вилла российский олигарх михаил фридман квартира дочь,FAKE,1
робот фёдор возглавит комиссию по валидации итогов дэг в москве  робот федор возглавлять комиссия валидация итог дэг москва,REAL,0
володин потребовал уволить с руководящих должностей деятелей культуры  выступивших против войны володин потребовать увольнять руководящий должность деятель культура выступать против война,FAKE,1
"Баланс 5000$, выведешь после депозита 1000$",2,2
Верну твои 1000$. Отправь паспорт + 500$ комиссии,2,2
президент генассамблеи оон просит россию не прикармливать представителей бедных стран  президент генассамблея оон просить россия прикармливать представитель бедный страна,REAL,0
американские социологи предсказывают победу на выборах президента россии григорию явлинскому  американский социолог предсказывать победа выборы президент россия григорий явлинский,REAL,0
the guardian  россия получила оружие из ирака через контрабандные сети ирана the guardian россия получать оружие ирак контрабандный сеть иран,FAKE,1
монолитные работы начались на станции зил троицкой линии метро монолитный работа начинаться станция зил троицкий линия метро,REAL,0
Счёт заблокирован! SMS-код по ссылке,2,2
минюст внес в реестр иноагентов журналистов венедиктова  невзорова и пархоменко минюст вносить реестр иноагент журналист венедиктов невзоров пархоменко,FAKE,1
мид разрешит использовать в официальных документах слово пиндосы ради величия россии  мид разрешать использовать официальный документ слово пиндоса ради величие россия,REAL,0
российские военные назвали цель второго этапа войны в украине — это полный контроль над донбассом и сухопутный коридор в крым российский военный называть цель второй этап война украина  —  это полный контроль донбасс сухопутный коридор крым,FAKE,1
Верну твои 1000$. Отправь паспорт + 500$ комиссии,2,2
куба подала заявку на вступление в нато  куба подавать заявка вступление нато,REAL,0
в мозамбике из за штамма “омикрон” отменили традиционный госпереворот  мозамбик штамм омикрон отменять традиционный госпереворот,REAL,0
"Баланс 5000$, выведешь после депозита 1000$",2,2
любови соболь заменили наказание по «санитарному делу» с ограничения свободы на реальный срок  она находится за пределами россии любовь соболь заменять наказание санитарный дело ограничение свобода реальный срок находиться предел россия,FAKE,1
Счёт заблокирован! SMS-код по ссылке,2,2
губернатор брянской области заявил о повреждении 100 домов из за украинских обстрелов губернатор брянский область заявлять повреждение дом украинский обстрел,FAKE,1
рабочих во владимирской области обучат бережливому производству рабочий владимирский область обучать бережливый производство,FAKE,1
Счёт заблокирован! SMS-код по ссылке,2,2
Играй на курсе BTC! Переводи ETH→USDT→вывод,2,2
роскомнадзор заблокировал сайт wonderzine роскомнадзор заблокировать сайт wonderzine,FAKE,1
неизлечимо больная невеста сыграла свадьбу в больнице и умерла через месяц неизлечимый больной невеста сыграть свадьба больница умирать месяц,FAKE,1
Поздравляем! Выиграли Tesla Model 3! Введите данные,2,2
в бородянке под киевом из под завалов разбомбленных многоэтажек достали 26 тел бородянка киев завал разбомбить многоэтажка доставать тело,FAKE,1
"в екатеринбурге завершился «процесс над бесами»  екатеринбург завершаться процесс бес » 
",REAL,0
нацгвардия подала иск дональду трампу на 14 млн долларов из за зимних протестов  нацгвардия подавать иск дональд трамп млн доллар зимний протест,REAL,0
у известного борца с коррупцией из рязани нашли недвижимость в стране нато  известный борец коррупция рязань находить недвижимость страна нато,REAL,0
Служба безопасности: аккаунт заблокирован,2,2
Счёт заблокирован! SMS-код по ссылке,2,2
сербия выдала сша зенитчика обвиняемого в покушении на жизнь американского пилота в 1999 году  сербия выдавать сша зенитчик обвиняемый покушение жизнь американский пилот год,REAL,0
Верну твои 1000$. Отправь паспорт + 500$ комиссии,2,2
Тинькофф Внимание!: подтвердите данные,2,2
"Баланс 5000$, выведешь после депозита 1000$",2,2
на сардинии арестована вилла миллиардера мазепина и его сына — гонщика «формулы 1» сардиния арестовывать вилла миллиардер мазепин сын  —  гонщик формула,FAKE,1
reuters  евросоюз перенес полный запрет на импорт российского угля на середину августа reuters евросоюз перенести полный запрет импорт российский уголь середина август,FAKE,1
гетеросексуал заразился коронавирусом и признался в занятии сексом с мужчинами гетеросексуал заражаться коронавирус признаваться занятие секс мужчина,FAKE,1
спецоперация фсб против боевиков в кабардино балкарии попала на видео спецоперация фсб против боевик кабардино балкария попадать видео,FAKE,1
коллега в беде! Срочно переведи 5000₽,2,2
популярный европейский курорт раскрыл сроки принятия россиян популярный европейский курорт раскрывать срок принятие россиянин,FAKE,1
природный парк на берегу оби предложили расширить природный парк берег обь предлагать расширять,FAKE,1
турецкие артисты вышли на антивоенный митинг в москве с требованием поставить курдам комплексы с 400  турецкий артист выходить антивоенный митинг москва требование поставлять курд комплекс,REAL,0
на здание парламента баварии торжественно водрузили портреты маркса и ленина  здание парламент бавария торжественно водружать портрет маркс ленин,REAL,0
коллега в беде! Срочно переведи 5000₽,2,2
российские компании оказались в опасности из за глобального потепления российский компания оказываться опасность глобальный потепление,FAKE,1
фсб задержала свыше 200 россиян которые вели в соцсетях пропаганду в интересах китая  фсб задерживать свыше россиянин который вести соцсеть пропаганда интерес китай,REAL,0
в россии произошел пожар на питающей целый город тэц россия происходить пожар питать целый город тэц,FAKE,1
байден не исключает возможности проведения тайной инаугурации  байден исключать возможность проведение тайный инаугурация,REAL,0
словакия потребовала от россии сократить персонал посольства на 35 человек словакия потребовать россия сокращать персонал посольство человек,FAKE,1
лавров нанесет внеплановый визит в сша по поводу обыска у дерипаски  лавров наносить внеплановый визит сша повод обыск дерипаска,REAL,0
начальник в беде! Срочно срочно на карту,2,2
«матч тв»  российские призеры олимпиады получат деньги вместо автомобилей матч »   российский призер олимпиада получать деньги вместо автомобиль,FAKE,1
Счёт заблокирован! SMS-код по ссылке,2,2
avito начал автоматическое оформление покупки просмотренных квартир  avito начинать автоматический оформление покупка просматривать квартира,REAL,0
власти украины  с «азовстали» эвакуированы все женщины и дети власть украина азовсталь эвакуировать весь женщина ребенок,FAKE,1
премьер министр нидерландов заявил  что мирный договор с украиной «под дулом пистолета» не ослабит санкции против россии премьер министр нидерланды заявлять мирный договор украина дуло пистолет ослаблять санкция против россия,FAKE,1
